0/12343: emocional -->  EMOCIONAL
5848/12343: lágrima -->  LÁGRIMA
5849/12343: esperaba -->  ESPERAR
5850/12343: subidas -->  SUBIDA
5851/12343: bajadas -->  BAJADA
5852/12343: relevante -->  RELEVANTE
5853/12343: anotar -->  ANOTAR
5854/12343: flor -->  FLOR
5855/12343: piel -->  PIEL
5856/12343: condicionan -->  CONDICIONAR
5857/12343: presentes -->  PRESENTE
5858/12343: guardados -->  GUARDAR
5859/12343: resiente -->  RESENTIR
5860/12343: referente -->  REFERENTE
5861/12343: impida -->  IMPEDIR
5862/12343: fracasado -->  FRACASADO
5863/12343: recaído -->  RECAER
5864/12343: sacando -->  SACAR
5865/12343: advierte -->  ADVERTIR
5866/12343: estropea -->  ESTROPEAR
5867/12343: físicomental -->  -
5868/12343: fobias -->  FOBIA
5869/12343: bostezo -->  BOSTEZO
5870/12343: complejo -->  COMPLEJO
5871/12343: vitamínico -->  VITAMÍNICO
5872/12343: aurora -->  AURORA
5873/12343: nace -->  NACER
5874/12343: álvaro -->  -
5875/12343: bea -->  -
5876/12343: alicias -->  -
5877/12343: estudia -->  ESTUDIAR
5878/12343: santo -->  SANTO
5879/12343: bebí -->  BEBER
5880/12343: tutoría -->  TUTORÍA
5881/12343: ángel -->  ÁNGEL
5882/12343: rica -->  RICO
5883/12343: beatriz -->  -
5884/12343: tarjetas -->  TARJETA
5885/12343: anulando -->  ANULAR
5886/12343: tutora -->  TUTORA
5887/12343: siso -->  SISAR
5888/12343: hundirme -->  HUNDIR
5889/12343: dependo -->  DEPENDER
5890/12343: reacia -->  REACIO
5891/12343: disfrutarla -->  DISFRUTAR
5892/12343: roces -->  ROCE
5893/12343: víctor -->  -
5894/12343: canela -->  CANELA
5895/12343: suárez -->  -
5896/12343: contigo -->  CONTIGO
5897/12343: autolíticos -->  LÍTICO
5898/12343: disfruto -->  DISFRUTAR
5899/12343: ocupa -->  OCUPAR
5900/12343: comparándola -->  -
5901/12343: negatividad -->  NEGATIVIDAD
5902/12343: esperado -->  ESPERAR
5903/12343: usted -->  USTED
5904/12343: alteración -->  ALTERACIÓN
5905/12343: bonita -->  BONITO
5906/12343: desear -->  DESEAR
5907/12343: especial -->  ESPECIAL
5908/12343: estresa -->  ESTRESAR
5909/12343: suspendido -->  SUSPENDER
5910/12343: paget -->  -
5911/12343: azarosa -->  AZAROSO
5912/12343: hacemos -->  HACER
5913/12343: damos -->  DAR
5914/12343: acompaña -->  ACOMPAÑAR
5915/12343: permanecer -->  PERMANECER
5916/12343: desayunado -->  DESAYUNAR
5917/12343: vecina -->  VECINO
5918/12343: twitter -->  -
5919/12343: internamente -->  INTERNAMENTE
5920/12343: drogado -->  DROGAR
5921/12343: interno -->  INTERNO
5922/12343: pacífico -->  PACÍFICO
5923/12343: ducharme -->  DUCHAR
5924/12343: psicoterapeuta -->  PSICOTERAPEUTA
5925/12343: indagado -->  INDAGAR
5926/12343: permitiéndome -->  -
5927/12343: aceptarlas -->  ACEPTAR
5928/12343: desarrollarlas -->  DESARROLLAR
5929/12343: reflexionar -->  REFLEXIONAR
5930/12343: físicoemocional -->  -
5931/12343: farmacológico -->  FARMACOLÓGICO
5932/12343: planeado -->  PLANEAR
5933/12343: minimaratón -->  MARATÓN
5934/12343: acordada -->  ACORDADA
5935/12343: disco -->  DISCO
5936/12343: coronado -->  CORONAR
5937/12343: embarga -->  EMBARGAR
5938/12343: pantano -->  PANTANO
5939/12343: sierra -->  SIERRA
5940/12343: topomax -->  -
5941/12343: atracones -->  ATRACÓN
5942/12343: desayunar -->  DESAYUNAR
5943/12343: espabilado -->  ESPABILAR
5944/12343: agobiaba -->  AGOBIAR
5945/12343: software -->  SOFTWARE
5946/12343: decían -->  DECIR
5947/12343: aparecían -->  APARECER
5948/12343: luchado -->  LUCHAR
5949/12343: relativas -->  RELATIVO
5950/12343: mascotas -->  MASCOTA
5951/12343: visitar -->  VISITAR
5952/12343: tíos -->  TÍO
5953/12343: huerto -->  HUERTO
5954/12343: resumidas -->  RESUMIR
5955/12343: cuentas -->  CUENTA
5956/12343: kilómetros -->  KILÓMETRO
5957/12343: revuelta -->  REVUELTA
5958/12343: quimio -->  -
5959/12343: frutos -->  FRUTO
5960/12343: secos -->  SECO
5961/12343: encargaba -->  ENCARGAR
5962/12343: oraciones -->  ORACIÓN
5963/12343: eccemas -->  ECCEMA
5964/12343: adecuado -->  ADECUADO
5965/12343: forzarme -->  FORZAR
5966/12343: funciono -->  FUNCIONAR
5967/12343: continúe -->  CONTINUAR
5968/12343: encontrarse -->  ENCONTRAR
5969/12343: acupuntura -->  ACUPUNTURA
5970/12343: sangrado -->  SANGRAR
5971/12343: enérgico -->  ENÉRGICO
5972/12343: regalado -->  REGALADO
5973/12343: talla -->  TALLA
5974/12343: extragrande -->  GRANDE
5975/12343: revisando -->  REVISAR
5976/12343: discos -->  DISCO
5977/12343: duros -->  DURO
5978/12343: series -->  SERIE
5979/12343: reforzar -->  REFORZAR
5980/12343: descubriéndome -->  -
5981/12343: faceta -->  FACETA
5982/12343: permitirme -->  PERMITIR
5983/12343: constantes -->  CONSTANTE
5984/12343: comprarla -->  COMPRAR
5985/12343: cafetera -->  CAFETERA
5986/12343: actualizando -->  ACTUALIZAR
5987/12343: revistas -->  REVISTA
5988/12343: muchísimas -->  MUCHÍSIMO
5989/12343: prisas -->  PRISA
5990/12343: gastos -->  GASTO
5991/12343: trimestrales -->  TRIMESTRAL
5992/12343: programas -->  PROGRAMA
5993/12343: arcilla -->  ARCILLA
5994/12343: colon -->  COLON
5995/12343: acompaño -->  ACOMPAÑAR
5996/12343: cansa -->  CANSAR
5997/12343: taller -->  TALLER
5998/12343: rapidez -->  RAPIDEZ
5999/12343: supuran -->  SUPURAR
6000/12343: limitadas -->  LIMITADO
6001/12343: analizar -->  ANALIZAR
6002/12343: creencias -->  CREENCIA
6003/12343: configuran -->  CONFIGURAR
6004/12343: reinventarme -->  REINVENTAR
6005/12343: rusa -->  RUSO
6006/12343: liberando -->  LIBERAR
6007/12343: fenotipo -->  -
6008/12343: tejido -->  TEJIDO
6009/12343: adiposo -->  ADIPOSO
6010/12343: glándulas -->  GLÁNDULA
6011/12343: mamarias -->  MAMARIO
6012/12343: cintura -->  CINTURA
6013/12343: aumentando -->  AUMENTAR
6014/12343: recomendable -->  RECOMENDABLE
6015/12343: índice -->  ÍNDICE
6016/12343: retengo -->  RETENER
6017/12343: líquidos -->  LÍQUIDO
6018/12343: inyectable -->  INYECTABLE
6019/12343: xeplión -->  -
6020/12343: sánchez -->  -
6021/12343: integrado -->  INTEGRADO
6022/12343: intención -->  INTENCIÓN
6023/12343: retirarme -->  RETIRAR
6024/12343: temperaturas -->  TEMPERATURA
6025/12343: nocturnas -->  NOCTURNO
6026/12343: respecta -->  -
6027/12343: secundarios -->  SECUNDARIO
6028/12343: posición -->  POSICIÓN
6029/12343: masa -->  MASA
6030/12343: gruesa -->  GRUESA
6031/12343: beta -->  BETA
6032/12343: oxidación -->  OXIDACIÓN
6033/12343: almaceno -->  ALMACENAR
6034/12343: reservorios -->  -
6035/12343: electrocardiograma -->  ELECTROCARDIOGRAMA
6036/12343: braquicardia -->  -
6037/12343: sinusal -->  -
6038/12343: diagnostica -->  DIAGNOSTICAR
6039/12343: obrando -->  OBRAR
6040/12343: regularmente -->  REGULARMENTE
6041/12343: vientre -->  VIENTRE
6042/12343: abdominales -->  ABDOMINAL
6043/12343: estreñido -->  ESTREÑIDO
6044/12343: cercano -->  CERCANO
6045/12343: atleta -->  ATLETA
6046/12343: radiografía -->  RADIOGRAFÍA
6047/12343: tórax -->  TÓRAX
6048/12343: ecocardiografía -->  -
6049/12343: satisfactorios -->  SATISFACTORIO
6050/12343: asociado -->  ASOCIADO
6051/12343: diurético -->  DIURÉTICO
6052/12343: mgr -->  -
6053/12343: inyectarán -->  INYECTAR
6054/12343: urólogo -->  URÓLOGO
6055/12343: determinar -->  DETERMINAR
6056/12343: prostáticos -->  -
6057/12343: acercándose -->  -
6058/12343: psicológicas -->  PSICOLÓGICO
6059/12343: plantearle -->  PLANTEAR
6060/12343: enfoque -->  ENFOQUE
6061/12343: diagnosticada -->  DIAGNOSTICAR
6062/12343: radiodifusión -->  RADIODIFUSIÓN
6063/12343: fernando -->  -
6064/12343: prada -->  -
6065/12343: podremos -->  PODER
6066/12343: audición -->  AUDICIÓN
6067/12343: grabación -->  GRABACIÓN
6068/12343: modelar -->  MODELAR
6069/12343: sereno -->  SERENO
6070/12343: ordeno -->  ORDENAR
6071/12343: tranquilizo -->  TRANQUILIZAR
6072/12343: susceptible -->  SUSCEPTIBLE
6073/12343: reflexionando -->  REFLEXIONAR
6074/12343: pegue -->  PEGAR
6075/12343: compensando -->  COMPENSAR
6076/12343: abstinencia -->  ABSTINENCIA
6077/12343: centrado -->  CENTRADO
6078/12343: historia -->  HISTORIA
6079/12343: abandonada -->  ABANDONADO
6080/12343: plato -->  PLATO
6081/12343: allá -->  ALLÁ
6082/12343: niega -->  NEGAR
6083/12343: alejando -->  ALEJAR
6084/12343: controlan -->  CONTROLAR
6085/12343: tesitura -->  TESITURA
6086/12343: compulsiva -->  COMPULSIVO
6087/12343: kg -->  -
6088/12343: despertó -->  DESPERTAR
6089/12343: gato -->  GATO
6090/12343: desayune -->  DESAYUNAR
6091/12343: despeja -->  DESPEJAR
6092/12343: disipa -->  DISIPAR
6093/12343: entusiasmo -->  ENTUSIASMO
6094/12343: apresada -->  APRESAR
6095/12343: martirio -->  MARTIRIO
6096/12343: náuseas -->  NÁUSEA
6097/12343: cosquilleo -->  COSQUILLEO
6098/12343: bullen -->  BULLIR
6099/12343: espíritu -->  ESPÍRITU
6100/12343: prescripción -->  PRESCRIPCIÓN
6101/12343: fármaco -->  FÁRMACO
6102/12343: fármacos -->  FÁRMACO
6103/12343: valorado -->  VALORAR
6104/12343: basado -->  BASAR
6105/12343: tryptizol -->  -
6106/12343: mentalizando -->  MENTALIZAR
6107/12343: operativo -->  OPERATIVO
6108/12343: ansia -->  ANSIA
6109/12343: duloxetina -->  -
6110/12343: provocándome -->  -
6111/12343: tratado -->  TRATADO
6112/12343: reduciendo -->  REDUCIR
6113/12343: retirarla -->  RETIRAR
6114/12343: temblón -->  TEMBLÓN
6115/12343: contratiempo -->  CONTRATIEMPO
6116/12343: disminuido -->  DISMINUIDO
6117/12343: lamento -->  LAMENTO
6118/12343: aplicación -->  APLICACIÓN
6119/12343: procuraré -->  PROCURAR
6120/12343: cogía -->  COGER
6121/12343: avión -->  AVIÓN
6122/12343: joana -->  -
6123/12343: comentarte -->  COMENTAR
6124/12343: sufran -->  SUFRIR
6125/12343: martín -->  MARTÍN
6126/12343: comunicarte -->  COMUNICAR
6127/12343: invega -->  VEGA
6128/12343: mandaste -->  MANDAR
6129/12343: borracha -->  BORRACHO
6130/12343: avisos -->  AVISO
6131/12343: llamaras -->  LLAMAR
6132/12343: pericia -->  PERICIA
6133/12343: explicarlo -->  EXPLICAR
6134/12343: coincidió -->  COINCIDIR
6135/12343: superándome -->  -
6136/12343: estomacales -->  ESTOMACAL
6137/12343: omeprazol -->  -
6138/12343: almorranas -->  ALMORRANAS
6139/12343: nadando -->  NADAR
6140/12343: recomendación -->  RECOMENDACIÓN
6141/12343: equilibra -->  EQUILIBRAR
6142/12343: intervenciones -->  INTERVENCIÓN
6143/12343: molido -->  MOLIDO
6144/12343: matinal -->  MATINAL
6145/12343: nado -->  NADAR
6146/12343: calibrando -->  CALIBRAR
6147/12343: tipos -->  TIPO
6148/12343: vuelos -->  VUELO
6149/12343: presidente -->  PRESIDENTE
6150/12343: seriedad -->  SERIEDAD
6151/12343: choques -->  CHOQUE
6152/12343: coinciden -->  COINCIDIR
6153/12343: deberíamos -->  DEBER
6154/12343: tranxilium -->  -
6155/12343: primeras -->  PRIMERAS
6156/12343: desa -->  -
6157/12343: paroxetina -->  -
6158/12343: abrazos -->  ABRAZO
6159/12343: pablo -->  -
6160/12343: desaparezca -->  DESAPARECER
6161/12343: calentamiento -->  CALENTAMIENTO
6162/12343: estiramiento -->  ESTIRAMIENTO
6163/12343: desestabilizad -->  DESESTABILIZAR
6164/12343: prisión -->  PRISIÓN
6165/12343: denunciado -->  DENUNCIAR
6166/12343: separar -->  SEPARAR
6167/12343: hierro -->  HIERRO
6168/12343: descansada -->  DESCANSADO
6169/12343: aveces -->  VEZ
6170/12343: atracón -->  ATRACÓN
6171/12343: prima -->  PRIMA
6172/12343: distanciado -->  DISTANCIADO
6173/12343: llamábamos -->  LLAMAR
6174/12343: acercado -->  ACERCAR
6175/12343: ong -->  -
6176/12343: ansiada -->  ANSIADO
6177/12343: arguelles -->  -
6178/12343: palacios -->  PALACIO
6179/12343: publico -->  PUBLICAR
6180/12343: inspección -->  INSPECCIÓN
6181/12343: lópez -->  -
6182/12343: hoyos -->  HOYO
6183/12343: toco -->  TOCAR
6184/12343: inspectora -->  INSPECTOR
6185/12343: aconsejo -->  ACONSEJAR
6186/12343: reclamase -->  RECLAMAR
6187/12343: indico -->  INDICAR
6188/12343: relajándome -->  -
6189/12343: muletas -->  MULETA
6190/12343: devolví -->  DEVOLVER
6191/12343: tostado -->  TOSTADO
6192/12343: tomándome -->  -
6193/12343: duerno -->  -
6194/12343: médicas -->  MÉDICO
6195/12343: notificación -->  NOTIFICACIÓN
6196/12343: gustando -->  GUSTAR
6197/12343: nutricionista -->  NUTRICIONISTA
6198/12343: adelgazo -->  ADELGAZAR
6199/12343: operan -->  OPERAR
6200/12343: almudena -->  -
6201/12343: operaron -->  OPERAR
6202/12343: ayunas -->  AYUNAS
6203/12343: cenase -->  CENAR
6204/12343: anestesia -->  ANESTESIA
6205/12343: salia -->  -
6206/12343: desahogue -->  DESAHOGAR
6207/12343: ida -->  IDA
6208/12343: operado -->  OPERAR
6209/12343: gorda -->  GORDO
6210/12343: lavaba -->  LAVAR
6211/12343: ibuprofeno -->  -
6212/12343: trastornos -->  TRASTORNO
6213/12343: bulimia -->  BULIMIA
6214/12343: exponían -->  EXPONER
6215/12343: dichos -->  DICHO
6216/12343: hábitos -->  HÁBITO
6217/12343: pagos -->  PAGO
6218/12343: controlando -->  CONTROLAR
6219/12343: turrones -->  TURRÓN
6220/12343: turrón -->  TURRÓN
6221/12343: paseando -->  PASEAR
6222/12343: jorge -->  -
6223/12343: lens -->  -
6224/12343: paciente -->  PACIENTE
6225/12343: compartimos -->  COMPARTIR
6226/12343: desorden -->  DESORDEN
6227/12343: apetecido -->  APETECER
6228/12343: voluntaria -->  VOLUNTARIO
6229/12343: fundación -->  FUNDACIÓN
6230/12343: jiménez -->  -
6231/12343: díaz -->  -
6232/12343: devolviendo -->  DEVOLVER
6233/12343: fecha -->  FECHA
6234/12343: ayudo -->  AYUDAR
6235/12343: concernientes -->  CONCERNIENTE
6236/12343: rellenó -->  RELLENAR
6237/12343: guste -->  GUSTAR
6238/12343: diariamente -->  DIARIAMENTE
6239/12343: ratón -->  RATÓN
6240/12343: diagnosticaron -->  DIAGNOSTICAR
6241/12343: quirúrgica -->  QUIRÚRGICO
6242/12343: genitales -->  GENITAL
6243/12343: intranquilidad -->  INTRANQUILIDAD
6244/12343: alteraciones -->  ALTERACIÓN
6245/12343: surtiendo -->  SURTIR
6246/12343: remite -->  REMITE
6247/12343: digna -->  DIGNO
6248/12343: dolencias -->  DOLENCIA
6249/12343: remiten -->  REMITIR
6250/12343: aumentan -->  AUMENTAR
6251/12343: retomo -->  RETOMAR
6252/12343: envío -->  ENVÍO
6253/12343: pertinentes -->  PERTINENTE
6254/12343: deriva -->  DERIVA
6255/12343: deportiva -->  DEPORTIVO
6256/12343: intervenida -->  INTERVENIR
6257/12343: progresado -->  PROGRESAR
6258/12343: desconozco -->  DESCONOCER
6259/12343: nerviosas -->  NERVIOSO
6260/12343: nauseas -->  -
6261/12343: revisiones -->  REVISIÓN
6262/12343: tex -->  -
6263/12343: altere -->  ALTERAR
6264/12343: tomamos -->  TOMAR
6265/12343: marcharme -->  MARCHAR
6266/12343: quedamos -->  QUEDAR
6267/12343: llegada -->  LLEGADA
6268/12343: encarga -->  ENCARGAR
6269/12343: encargado -->  ENCARGADO
6270/12343: pagase -->  PAGAR
6271/12343: viéndonos -->  -
6272/12343: asistido -->  ASISTIDO
6273/12343: contarle -->  CONTAR
6274/12343: angustias -->  ANGUSTIA
6275/12343: preguntarme -->  PREGUNTAR
6276/12343: prescribirme -->  PRESCRIBIR
6277/12343: derivarme -->  DERIVAR
6278/12343: hilvanado -->  HILVANAR
6279/12343: heridas -->  HERIDA
6280/12343: acentuado -->  ACENTUADO
6281/12343: rebajar -->  REBAJAR
6282/12343: rebajado -->  REBAJAR
6283/12343: respectivamente -->  RESPECTIVAMENTE
6284/12343: nolotil -->  -
6285/12343: conciliando -->  CONCILIAR
6286/12343: ostensiblemente -->  OSTENSIBLEMENTE
6287/12343: atmósfera -->  ATMÓSFERA
6288/12343: acentúa -->  ACENTUAR
6289/12343: efectúo -->  EFECTUAR
6290/12343: acudí -->  ACUDIR
6291/12343: programada -->  PROGRAMADO
6292/12343: aliviar -->  ALIVIAR
6293/12343: maneras -->  MANERA
6294/12343: benzodiazepina -->  -
6295/12343: refiero -->  REFERIR
6296/12343: mantenido -->  MANTENIDO
6297/12343: regresando -->  REGRESAR
6298/12343: utilizado -->  UTILIZAR
6299/12343: relajaciones -->  RELAJACIÓN
6300/12343: odontólogo -->  ODONTÓLOGO
6301/12343: cérvicodorsolumbar -->  -
6302/12343: apreciación -->  APRECIACIÓN
6303/12343: métodos -->  MÉTODO
6304/12343: repito -->  REPETIR
6305/12343: adormilarme -->  ADORMILAR
6306/12343: ciertos -->  CIERTO
6307/12343: acudido -->  ACUDIR
6308/12343: perfeccionar -->  PERFECCIONAR
6309/12343: sostenerme -->  SOSTENER
6310/12343: tranquilizante -->  TRANQUILIZANTE
6311/12343: codos -->  CODO
6312/12343: hombros -->  HOMBRO
6313/12343: rodillas -->  RODILLA
6314/12343: tobillos -->  TOBILLO
6315/12343: motor -->  MOTOR
6316/12343: desahogo -->  DESAHOGO
6317/12343: posterior -->  POSTERIOR
6318/12343: planta -->  PLANTA
6319/12343: tca -->  -
6320/12343: asignado -->  ASIGNAR
6321/12343: resultando -->  RESULTAR
6322/12343: contesté -->  CONTESTAR
6323/12343: ponernos -->  PONER
6324/12343: secundarias -->  SECUNDARIA
6325/12343: granitos -->  GRANITO
6326/12343: pelando -->  PELAR
6327/12343: doctorado -->  DOCTORADO
6328/12343: preguntaban -->  PREGUNTAR
6329/12343: burgos -->  BURGO
6330/12343: inseguridades -->  INSEGURIDAD
6331/12343: agobiando -->  AGOBIAR
6332/12343: cargo -->  CARGO
6333/12343: controlarle -->  CONTROLAR
6334/12343: esforzar -->  ESFORZAR
6335/12343: conseguí -->  CONSEGUIR
6336/12343: cotidianas -->  COTIDIANO
6337/12343: dieran -->  DAR
6338/12343: darse -->  DAR
6339/12343: costo -->  COSTO
6340/12343: motiva -->  MOTIVAR
6341/12343: pus -->  PUS
6342/12343: llegamos -->  LLEGAR
6343/12343: debemos -->  DEBER
6344/12343: agregado -->  AGREGADO
6345/12343: comprende -->  COMPRENDER
6346/12343: férula -->  FÉRULA
6347/12343: guarde -->  GUARDAR
6348/12343: entremedias -->  ENTREMEDIAS
6349/12343: colcha -->  COLCHA
6350/12343: doblada -->  DOBLADO
6351/12343: buscaba -->  BUSCAR
6352/12343: buscaría -->  BUSCAR
6353/12343: saquen -->  SACAR
6354/12343: callarme -->  CALLAR
6355/12343: enterara -->  ENTERAR
6356/12343: conectarme -->  CONECTAR
6357/12343: siguientes -->  SIGUIENTE
6358/12343: esforzaban -->  ESFORZAR
6359/12343: opero -->  OPERAR
6360/12343: insistiendo -->  INSISTIR
6361/12343: hiciera -->  HACER
6362/12343: nevedito -->  -
6363/12343: despejar -->  DESPEJAR
6364/12343: seguidas -->  SEGUIDA
6365/12343: ultimas -->  ULTIMAR
6366/12343: apneas -->  -
6367/12343: cantidades -->  CANTIDAD
6368/12343: recomendaciones -->  RECOMENDACIÓN
6369/12343: agravar -->  AGRAVAR
6370/12343: fe -->  FE
6371/12343: descansó -->  DESCANSAR
6372/12343: supero -->  SUPERAR
6373/12343: distante -->  DISTANTE
6374/12343: encierra -->  ENCERRAR
6375/12343: conectar -->  CONECTAR
6376/12343: celebro -->  CELEBRAR
6377/12343: oportunidad -->  OPORTUNIDAD
6378/12343: comprendernos -->  COMPRENDER
6379/12343: nacimiento -->  NACIMIENTO
6380/12343: llevarme -->  LLEVAR
6381/12343: consuelo -->  CONSUELO
6382/12343: percibo -->  PERCIBIR
6383/12343: olvidan -->  OLVIDAR
6384/12343: presto -->  PRESTO
6385/12343: acobardada -->  ACOBARDAR
6386/12343: apuntarme -->  APUNTAR
6387/12343: traigo -->  TRAER
6388/12343: adoro -->  ADORAR
6389/12343: aptitud -->  APTITUD
6390/12343: divergencias -->  DIVERGENCIA
6391/12343: exterior -->  EXTERIOR
6392/12343: manía -->  MANÍA
6393/12343: ordenes -->  ORDENAR
6394/12343: animarme -->  ANIMAR
6395/12343: reírme -->  REÍR
6396/12343: complaciente -->  COMPLACIENTE
6397/12343: guardarme -->  GUARDAR
6398/12343: oír -->  OÍR
6399/12343: plano -->  PLANO
6400/12343: sonrió -->  SONREÍR
6401/12343: madera -->  MADERA
6402/12343: instalado -->  INSTALADO
6403/12343: calmo -->  CALMO
6404/12343: tormenta -->  TORMENTA
6405/12343: na -->  NA
6406/12343: estresarán -->  ESTRESAR
6407/12343: estudiándola -->  -
6408/12343: colaborado -->  COLABORAR
6409/12343: domesticas -->  DOMESTICAR
6410/12343: quejar -->  QUEJAR
6411/12343: agradecida -->  AGRADECIDO
6412/12343: quimioterapia -->  QUIMIOTERAPIA
6413/12343: trascurre -->  -
6414/12343: constipado -->  CONSTIPADO
6415/12343: destacar -->  DESTACAR
6416/12343: facetas -->  FACETA
6417/12343: retirado -->  RETIRADO
6418/12343: perdía -->  PERDER
6419/12343: servicio -->  SERVICIO
6420/12343: tiraba -->  TIRAR
6421/12343: fuego -->  FUEGO
6422/12343: animales -->  ANIMAL
6423/12343: camuflados -->  CAMUFLADO
6424/12343: acto -->  ACTO
6425/12343: reflejo -->  REFLEJO
6426/12343: escena -->  ESCENA
6427/12343: acción -->  ACCIÓN
6428/12343: atormentado -->  ATORMENTAR
6429/12343: actuales -->  ACTUAL
6430/12343: retomado -->  RETOMAR
6431/12343: contrariedades -->  CONTRARIEDAD
6432/12343: aflorar -->  AFLORAR
6433/12343: controlados -->  CONTROLAR
6434/12343: fatigar -->  FATIGAR
6435/12343: confusos -->  CONFUSO
6436/12343: cumplen -->  CUMPLIR
6437/12343: obsesionan -->  OBSESIONAR
6438/12343: interesantes -->  INTERESANTE
6439/12343: temía -->  TEMER
6440/12343: confirmado -->  CONFIRMAR
6441/12343: confirman -->  CONFIRMAR
6442/12343: torrenciales -->  TORRENCIAL
6443/12343: agolpándose -->  -
6444/12343: cero -->  CERO
6445/12343: producir -->  PRODUCIR
6446/12343: necesarios -->  NECESARIO
6447/12343: producido -->  PRODUCIR
6448/12343: avecinar -->  AVECINAR
6449/12343: monotonía -->  MONOTONÍA
6450/12343: vivido -->  VIVIDO
6451/12343: inquietud -->  INQUIETUD
6452/12343: acontecimientos -->  ACONTECIMIENTO
6453/12343: satisfacerme -->  SATISFACER
6454/12343: suceda -->  SUCEDER
6455/12343: positivos -->  POSITIVO
6456/12343: absurdas -->  ABSURDO
6457/12343: fijarme -->  FIJAR
6458/12343: goteo -->  GOTEO
6459/12343: envidia -->  ENVIDIA
6460/12343: sadismo -->  SADISMO
6461/12343: duran -->  DURAR
6462/12343: transcurrido -->  TRANSCURRIR
6463/12343: naturalidad -->  NATURALIDAD
6464/12343: mindfulness -->  -
6465/12343: profundizar -->  PROFUNDIZAR
6466/12343: relativo -->  RELATIVO
6467/12343: fracasos -->  FRACASO
6468/12343: ectópico -->  -
6469/12343: metrotextate -->  -
6470/12343: anemia -->  ANEMIA
6471/12343: abdominal -->  ABDOMINAL
6472/12343: causan -->  CAUSAR
6473/12343: fluctúo -->  FLUCTUAR
6474/12343: rechazo -->  RECHAZO
6475/12343: aceptarme -->  ACEPTAR
6476/12343: primeramente -->  PRIMERAMENTE
6477/12343: oxigenarme -->  OXIGENAR
6478/12343: resido -->  RESIDIR
6479/12343: parezcan -->  PARECER
6480/12343: inabarcables -->  INABARCABLE
6481/12343: sur -->  SUR
6482/12343: procedo -->  PROCEDER
6483/12343: paisajes -->  PAISAJE
6484/12343: desconectaron -->  DESCONECTAR
6485/12343: tedio -->  TEDIO
6486/12343: pantalones -->  PANTALÓN
6487/12343: llenaba -->  LLENAR
6488/12343: pantalón -->  PANTALÓN
6489/12343: salgan -->  SALIR
6490/12343: zombi -->  ZOMBI
6491/12343: inicie -->  INICIAR
6492/12343: puntuales -->  PUNTUAL
6493/12343: cerrados -->  CERRADO
6494/12343: engañando -->  ENGAÑAR
6495/12343: desconfianza -->  DESCONFIANZA
6496/12343: inferioridad -->  INFERIORIDAD
6497/12343: excitación -->  EXCITACIÓN
6498/12343: tozudez -->  TOZUDEZ
6499/12343: imaginar -->  IMAGINAR
6500/12343: paralelo -->  PARALELO
6501/12343: víctima -->  VÍCTIMA
6502/12343: incomprendida -->  INCOMPRENDIDO
6503/12343: moratones -->  MORATÓN
6504/12343: pésimas -->  PÉSIMO
6505/12343: manteniendo -->  MANTENER
6506/12343: mejorada -->  MEJORAR
6507/12343: dolares -->  -
6508/12343: musculares -->  MUSCULAR
6509/12343: sequedad -->  SEQUEDAD
6510/12343: reflejos -->  REFLEJO
6511/12343: temblar -->  TEMBLAR
6512/12343: rarísimos -->  RARÍSIMO
6513/12343: recompensa -->  RECOMPENSA
6514/12343: económica -->  ECONÓMICO
6515/12343: percibir -->  PERCIBIR
6516/12343: prestación -->  PRESTACIÓN
6517/12343: traumático -->  TRAUMÁTICO
6518/12343: proceder -->  PROCEDER
6519/12343: antigua -->  ANTIGUO
6520/12343: plantea -->  PLANTEAR
6521/12343: condescendiente -->  CONDESCENDIENTE
6522/12343: secreciones -->  SECRECIÓN
6523/12343: pechos -->  PECHO
6524/12343: calostro -->  -
6525/12343: sintrom -->  -
6526/12343: tomás -->  -
6527/12343: considera -->  CONSIDERAR
6528/12343: manipuladora -->  MANIPULADOR
6529/12343: radioterapia -->  RADIOTERAPIA
6530/12343: histérico -->  HISTÉRICO
6531/12343: venia -->  VENIA
6532/12343: asistenta -->  ASISTENTA
6533/12343: encontramos -->  ENCONTRAR
6534/12343: cómodos -->  CÓMODO
6535/12343: ocupar -->  OCUPAR
6536/12343: supremo -->  SUPREMO
6537/12343: atrasos -->  ATRASO
6538/12343: primeros -->  PRIMEROS
6539/12343: patilla -->  PATILLA
6540/12343: repentino -->  REPENTINO
6541/12343: empezare -->  -
6542/12343: observando -->  OBSERVAR
6543/12343: montarme -->  MONTAR
6544/12343: agitados -->  AGITADO
6545/12343: sosegada -->  SOSEGADO
6546/12343: concentrada -->  CONCENTRADO
6547/12343: risas -->  RISA
6548/12343: presenta -->  PRESENTAR
6549/12343: plantearme -->  PLANTEAR
6550/12343: existencial -->  EXISTENCIAL
6551/12343: verdulera -->  VERDULERA
6552/12343: pisa -->  PISA
6553/12343: comporta -->  COMPORTAR
6554/12343: sumisa -->  SUMISO
6555/12343: explicarme -->  EXPLICAR
6556/12343: tranquilizó -->  TRANQUILIZAR
6557/12343: gastritis -->  GASTRITIS
6558/12343: antidepresivos -->  ANTIDEPRESIVO
6559/12343: caes -->  CAER
6560/12343: dejarlos -->  DEJAR
6561/12343: metiéndome -->  -
6562/12343: círculo -->  CÍRCULO
6563/12343: vicioso -->  VICIOSO
6564/12343: sabrá -->  SABER
